method,budget,n_restart,exact_calls,wall_s_per_run,eps_1,target_sum_theta,fitness_mean,fitness_std,fitness_median,fitness_best_of_n,sum_theta_mean
ga_gnn,60x60,10,684,5.675,0.0001,16.301,40.0156,7.5941,41.6657,49.9763,25.1467
ga_gnn,80x80,10,805,6.482,1e-08,20.301,27.3526,4.5325,27.1002,36.5481,28.3435
ga_gnn,80x80,10,805,6.482,1e-07,19.301,35.1991,5.7684,33.3757,47.7613,28.0773
ga_gnn,80x80,10,805,6.482,1e-06,18.301,30.2284,9.7608,27.1456,47.7616,28.3801
ga_gnn,80x80,10,805,6.482,1e-05,17.301,40.4046,7.483,40.7377,49.5029,25.1943
ga_gnn,80x80,10,805,6.482,0.0001,16.301,46.6215,3.3006,47.284,50.0,26.8118
ga_gnn,120x120,10,1070,9.446,1e-08,20.301,31.7335,4.7363,28.5804,38.9207,27.6928
ga_gnn,120x120,10,1070,9.446,1e-07,19.301,41.3366,7.9856,46.4285,49.7044,27.708
ga_gnn,120x120,10,1070,9.446,1e-06,18.301,43.0689,8.9815,48.6322,49.7044,30.2145
ga_gnn,120x120,10,1070,9.446,1e-05,17.301,48.405,2.4257,49.7396,50.0,29.0561
ga_gnn,120x120,10,1070,9.446,0.0001,16.301,49.7482,0.6024,50.0,50.0,28.8273
ga_gnn,40x40r40,40,524,4.28,1e-08,20.301,23.4447,6.2667,23.8383,36.3183,28.4803
ga_gnn,40x40r40,40,524,4.28,1e-07,19.301,25.1682,5.598,25.6929,36.3183,26.5034
ga_gnn,40x40r40,40,524,4.28,1e-06,18.301,25.7773,5.2203,25.0041,36.3183,24.8556
ga_gnn,40x40r40,40,524,4.28,1e-05,17.301,25.5625,6.5669,22.7464,45.2242,22.6473
ga_gnn,40x40r40,40,524,4.28,0.0001,16.301,33.5362,7.1471,33.8933,48.9571,23.4858
ga_gnn_policy,16x9,10,181,1.629,1e-08,20.301,47.7614,0.0001,47.7613,47.7616,26.6939
