method,method_label,n_pop,seed,fitness,feasible,wall_s,seed_ms,n_exact_eval,n_surrogate_eval,stopped_at_gen,frac_feasible_init,success
ga,GA (analytical model only),100,2033,30.542159,1,54.9145,0.000,10531,0,122,0.0000,0
ga,GA (analytical model only),100,2034,36.505978,1,105.4717,0.000,21256,0,244,0.0000,0
ga,GA (analytical model only),200,2025,49.704374,1,156.9634,0.000,31244,0,177,0.0000,1
ga,GA (analytical model only),200,2026,33.161693,1,119.1272,0.000,23885,0,132,0.0000,0
ga,GA (analytical model only),200,2027,32.567923,1,166.6944,0.000,38382,0,224,0.0000,0
ga,GA (analytical model only),200,2028,36.178443,1,148.2356,0.000,31392,0,177,0.0000,0
ga,GA (analytical model only),200,2029,35.462088,1,110.9063,0.000,23302,0,129,0.0000,0
ga,GA (analytical model only),200,2030,47.839504,1,196.6118,0.000,41816,0,238,0.0000,0
ga,GA (analytical model only),200,2031,28.354189,1,113.9800,0.000,22020,0,125,0.0000,0
ga,GA (analytical model only),200,2032,33.118730,1,85.6946,0.000,18661,0,103,0.0000,0
ga,GA (analytical model only),200,2033,47.833889,1,365.4063,0.000,52446,0,300,0.0000,0
ga,GA (analytical model only),200,2034,34.621158,1,328.9136,0.000,27374,0,154,0.0000,0
ga_gnn,GA + GNN surrogate,6,2025,30.067448,1,17.9758,0.000,1032,802,300,0.0000,0
ga_gnn,GA + GNN surrogate,6,2026,14.046534,1,5.4869,0.000,390,337,124,0.0000,0
ga_gnn,GA + GNN surrogate,6,2027,27.043327,1,14.0794,0.000,735,645,249,0.0000,0
ga_gnn,GA + GNN surrogate,6,2028,23.827735,1,9.3476,0.000,571,507,180,0.0000,0
ga_gnn,GA + GNN surrogate,6,2029,17.935208,1,5.6916,0.000,315,266,97,0.0000,0
ga_gnn,GA + GNN surrogate,6,2030,15.045191,1,14.8864,0.000,787,729,252,0.0000,0
ga_gnn,GA + GNN surrogate,6,2031,23.326607,1,14.6748,0.000,878,823,298,0.0000,0
ga_gnn,GA + GNN surrogate,6,2032,36.147367,1,20.1141,0.000,1091,853,300,0.0000,0
ga_gnn,GA + GNN surrogate,6,2033,15.281627,1,14.1298,0.000,832,780,294,0.0000,0
ga_gnn,GA + GNN surrogate,6,2034,29.592027,1,21.7992,0.000,1008,852,300,0.0000,0
ga_gnn,GA + GNN surrogate,10,2025,28.307703,1,23.2918,0.000,1424,1370,234,0.0000,0
ga_gnn,GA + GNN surrogate,10,2026,23.665529,1,19.5341,0.000,1401,1345,227,0.0000,0
ga_gnn,GA + GNN surrogate,10,2027,31.146154,1,29.4203,0.000,1883,1724,300,0.0000,0
ga_gnn,GA + GNN surrogate,10,2028,15.929688,1,13.6051,0.000,866,827,154,0.0000,0
ga_gnn,GA + GNN surrogate,10,2029,24.487887,1,30.0484,0.000,1733,1662,300,0.0000,0
ga_gnn,GA + GNN surrogate,10,2030,33.009739,1,21.9498,0.000,1339,1283,214,0.0000,0
ga_gnn,GA + GNN surrogate,10,2031,14.935824,1,21.2572,0.000,1257,1040,190,0.0000,0
ga_gnn,GA + GNN surrogate,10,2032,32.580865,1,30.3940,0.000,1965,1733,300,0.0000,0
ga_gnn,GA + GNN surrogate,10,2033,32.117386,1,30.5625,0.000,1901,1748,300,0.0000,0
ga_gnn,GA + GNN surrogate,10,2034,40.878541,1,33.1963,0.000,1991,1760,300,0.0000,0
ga_gnn,GA + GNN surrogate,16,2025,49.369572,1,34.2174,0.000,2458,3211,300,0.0000,1
ga_gnn,GA + GNN surrogate,16,2026,33.553873,1,27.9051,0.000,1965,2628,242,0.0000,0
ga_gnn,GA + GNN surrogate,16,2027,29.800655,1,35.4445,0.000,2400,3135,300,0.0000,0
ga_gnn,GA + GNN surrogate,16,2028,18.987390,1,26.3526,0.000,1845,2404,227,0.0000,0
ga_gnn,GA + GNN surrogate,16,2029,20.056584,1,18.0022,0.000,992,1003,100,0.0000,0
ga_gnn,GA + GNN surrogate,16,2030,20.087413,1,18.8124,0.000,1306,1623,161,0.0000,0
ga_gnn,GA + GNN surrogate,16,2031,42.200859,1,42.4538,0.000,2606,3212,300,0.0000,0
ga_gnn,GA + GNN surrogate,16,2032,19.951006,1,21.4630,0.000,1253,1348,135,0.0000,0
