method,method_label,point_index,wall_s,n_exact_eval,best_fitness
ga,GA (analytical model only),102,93.502951,18014,41.936778
ga,GA (analytical model only),103,94.433702,18191,42.040778
ga,GA (analytical model only),104,95.392403,18375,42.040778
ga,GA (analytical model only),105,96.321276,18555,44.222932
ga,GA (analytical model only),106,97.241019,18734,44.303933
ga,GA (analytical model only),107,98.186380,18913,44.392483
ga,GA (analytical model only),108,99.068228,19084,44.684961
ga,GA (analytical model only),109,99.958880,19252,44.803745
ga,GA (analytical model only),110,100.918176,19437,44.960164
ga,GA (analytical model only),111,101.867976,19617,44.960164
ga,GA (analytical model only),112,102.836641,19798,44.960164
ga,GA (analytical model only),113,103.779017,19975,47.221021
ga,GA (analytical model only),114,104.729294,20152,47.221021
ga,GA (analytical model only),115,105.697303,20334,47.443630
ga,GA (analytical model only),116,106.616051,20512,47.470002
ga,GA (analytical model only),117,107.484817,20682,47.707305
ga,GA (analytical model only),118,108.345165,20854,47.761555
ga,GA (analytical model only),119,109.203388,21034,47.761555
ga,GA (analytical model only),120,110.038126,21210,47.761555
ga,GA (analytical model only),121,110.877728,21386,48.948228
ga,GA (analytical model only),122,111.749786,21567,49.681775
ga,GA (analytical model only),123,112.550830,21739,49.681775
ga,GA (analytical model only),124,113.391891,21921,49.681775
ga,GA (analytical model only),125,114.149906,22100,49.681775
ga,GA (analytical model only),126,114.884187,22277,49.681775
ga,GA (analytical model only),127,115.655663,22457,49.704374
ga,GA (analytical model only),128,116.378047,22631,49.704374
ga,GA (analytical model only),129,117.130933,22811,49.704374
ga,GA (analytical model only),130,117.854139,22986,49.704374
ga,GA (analytical model only),131,118.598341,23160,49.704374
ga,GA (analytical model only),132,119.354219,23334,49.704374
ga,GA (analytical model only),133,120.114224,23507,49.704374
ga,GA (analytical model only),134,120.880144,23684,49.704374
ga,GA (analytical model only),135,121.639675,23858,49.704374
ga,GA (analytical model only),136,122.388263,24030,49.704374
ga,GA (analytical model only),137,123.174758,24205,49.704374
ga,GA (analytical model only),138,123.940425,24377,49.704374
ga,GA (analytical model only),139,124.721681,24550,49.704374
ga,GA (analytical model only),140,125.500738,24728,49.704374
ga,GA (analytical model only),141,126.293675,24904,49.704374
ga,GA (analytical model only),142,127.077307,25080,49.704374
ga,GA (analytical model only),143,127.840693,25251,49.704374
ga,GA (analytical model only),144,128.567505,25413,49.704374
ga,GA (analytical model only),145,129.342490,25585,49.704374
ga,GA (analytical model only),146,130.110336,25759,49.704374
ga,GA (analytical model only),147,130.879452,25931,49.704374
ga,GA (analytical model only),148,131.632133,26104,49.704374
ga,GA (analytical model only),149,132.406891,26282,49.704374
ga,GA (analytical model only),150,133.181998,26457,49.704374
ga,GA (analytical model only),151,133.971599,26637,49.704374
ga,GA (analytical model only),152,134.736789,26817,49.704374
ga,GA (analytical model only),153,135.483819,26989,49.704374
ga,GA (analytical model only),154,136.274335,27166,49.704374
ga,GA (analytical model only),155,137.046188,27335,49.704374
ga,GA (analytical model only),156,137.809607,27506,49.704374
ga,GA (analytical model only),157,138.580649,27683,49.704374
ga,GA (analytical model only),158,139.303318,27852,49.704374
ga,GA (analytical model only),159,140.009437,28021,49.704374
ga,GA (analytical model only),160,140.713193,28193,49.704374
